id;label;node_type;dimension;subdimension;level;parent;value;unit;target;status;in_degree;measures_behind;size;color
ECO-01;Total Costs;KPI;Economic;Cost;0;;102000.0;EUR;100000;missed;2;4;60.0;#E69F00
ECO-02;Capital Cost;Sub-KPI;Economic;Cost;1;ECO-01;57000.0;EUR;60000;reached;2;2;37.5;#EEBC4C
ECO-03;Overhead Cost;Sub-KPI;Economic;Cost;1;ECO-01;45000.0;EUR;40000;missed;2;2;37.5;#EEBC4C
ECO-11;Capital Cost 1;Measure;Economic;Cost;2;ECO-02;35000.0;EUR;;no target;0;0;15.0;#F5D999
ECO-12;Capital Cost 2;Measure;Economic;Cost;2;ECO-02;22000.0;EUR;;no target;0;0;15.0;#F5D999
ECO-13;Overhead Cost 1;Measure;Economic;Cost;2;ECO-03;18000.0;EUR;;no target;0;0;15.0;#F5D999
ECO-14;Overhead Cost 2;Measure;Economic;Cost;2;ECO-03;27000.0;EUR;;no target;0;0;15.0;#F5D999
ENV-01;Emissions to air;KPI;Environmental;Pollution;0;;5150.0;kg;5000;missed;2;4;60.0;#0072B2
ENV-02;Emissions of acid gases;Sub-KPI;Environmental;Pollution;1;ENV-01;2850.0;kg SO2-eq;3000;reached;2;2;37.5;#4C9CC9
ENV-03;Emissions of ozone-depleting substances;Sub-KPI;Environmental;Pollution;1;ENV-01;2300.0;kg CFC11-eq;2000;missed;2;2;37.5;#4C9CC9
ENV-11;NO2 emissions;Measure;Environmental;Pollution;2;ENV-02;1200.0;kg SO2-eq;;no target;0;0;15.0;#99C7E0
ENV-12;SO2 emissions;Measure;Environmental;Pollution;2;ENV-02;1650.0;kg SO2-eq;;no target;0;0;15.0;#99C7E0
ENV-13;CFC emissions;Measure;Environmental;Pollution;2;ENV-03;900.0;kg CFC11-eq;;no target;0;0;15.0;#99C7E0
ENV-14;HCFC emissions;Measure;Environmental;Pollution;2;ENV-03;1400.0;kg CFC11-eq;;no target;0;0;15.0;#99C7E0
